Predmet	Pitanje	Tip_pitanja	Odgovor_A	Odgovor_B	Odgovor_C	Odgovor_D	Odgovor_E	Odgovor_F	Tocan_odgovor	Napomena	Pregledano	Provjereno
UMS	Liječnički pregledi pomažu nam u prevenciji iznenadne smrti na terenu	visestruki_izbor	Točno	Netočno					A	Izvori izričito naglašavaju presudnu ulogu liječničkih pregleda u očuvanju života sportaša: • Identifikacija rizika: Obvezni zdravstveni pregledi služe za ustanovljavanje općeg zdravstvenog stanja i uočavanje stanja koja tijekom karijere mogu dovesti do životno ugrožavajućih stanja. • Kardiovaskularni pregled: Jedan od tri ključna dijela standardiziranog pregleda je kardiovaskularni pregled. Njegova je primarna svrha rano prepoznavanje znakova bolesti srčano-žilnog sustava. • Sprječavanje zastoja srca: Izvor navodi da je klinički pregled uz EKG (te po potrebi ultrazvuk srca) jedini način ranog otkrivanja promjena koje mogu dovesti do iznenadnog srčanog zastoja na sportskom terenu. Dakle, sustavni pregledi, a posebno njihova kardiološka komponenta, izravno su usmjereni na prevenciju najtežih ishoda u sportu, uključujući iznenadnu smrt.	TRUE	TRUE
UMS	Liječnički pregled igrača potrebno je provesti u nadležnim ambulantama sportske medicine	visestruki_izbor	Točno	Netočno					A	Izvori u poglavlju o obveznim zdravstvenim pregledima izričito navode stroge uvjete pod kojima se ti pregledi moraju provoditi: • Mjesto provođenja: Navodi se da se pregledi moraju vršiti u specijaliziranim ustanovama. Iako se u izvoru koristi širi termin "specijalizirane ustanove", on se u kontekstu sustava sporta odnosi na nadležne ambulante sportske medicine koje imaju dozvolu za takav rad. • Stručnost osoblja: Preglede moraju obavljati liječnici sa iskustvom u nogometnoj medicini. • Svrha: Ovakav pristup osigurava da se pregledi provedu prema standardiziranim protokolima kako bi se otkrilo što više čimbenika rizika i spriječila životno ugrožavajuća stanja na terenu. Stoga je tvrdnja da se pregledi trebaju obavljati u nadležnim (specijaliziranim) ambulantama u potpunosti u skladu s uputama iz izvora.	TRUE	TRUE
UMS	Upotreba suplementacije u sportu je rizična radi mogućnosti nalaza pozitivnog doping testa	visestruki_izbor	Točno	Netočno					B	Na temelju analize dostavljenih izvora, potvrđujem da je ponuđeni odgovor B (Netočno) točan, a tekstualni izvori to podupiru na sljedeći način: • Preporuka suplementacije: Izvori ne prikazuju suplementaciju kao rizičnu; naprotiv, navodi se da je za aktivnosti duljeg trajanja (poput nogometne utakmice) poželjno uzimanje dodatnih količina ugljikohidrata (suplementacija ugljikohidratnim napitcima) radi nadoknade ispražnjenih zaliha energije i odgode umora. • Doping u izvorima: Problem dopinga spominje se samo kao "poseban problem kod mlađe dobnih kategorija". U tekstu se nigdje ne uspostavlja veza između preporučene upotrebe dodataka prehrani (poput spomenutih ugljikohidrata) i rizika od pozitivnog doping testa. • Fokus na energetsku potporu: Budući da priručnik ističe suplementaciju kao koristan i "poželjan" alat za održavanje energetskih kapaciteta, ne pridaje joj se negativna konotacija u smislu rizika od kršenja antidopinških pravila. Napominjem da izvan ovih izvora u sportskoj medicini postoji rasprava o rizicima od kontaminiranih suplemenata, ali prema priloženom materijalu, ta se opasnost ne navodi, što odgovor B čini točnim u kontekstu ovog priručnika.	TRUE	TRUE
UMS	Kronične ozljede u nogometu najčešće su posljedica iznenadnog djelovanja sile	visestruki_izbor	Točno	Netočno					B	Izvori jasno razlikuju ozljede prema mehanizmu njihova nastanka: • Traumatske ozljede: One su posljedica iznenadnog djelovanja sile (npr. udarac, pad) i u njih spadaju natučenja, prijelomi ili rane. • Kronične ozljede: One nisu uzrokovane iznenadnom silom, već se najčešće definiraju kao sindromi prenaprezanja. • Mehanizam kroničnih ozljeda: One nastaju nakupljanjem mikrotrauma na mjestima mišićno-tetivnih spojeva tijekom duljeg vremena. Te mikrotraume u početku ne izazivaju simptome, ali se progresivno razvijaju u bolna stanja zbog stalnog ponavljanja napora bez adekvatnog odmora. • Indirektna i direktna sila: Čak i kod mišićnih ozljeda, izvori navode da one najčešće nastaju djelovanjem indirektne sile (istegnuća), dok su ozljede uzrokovane direktnom silom (udarci) rjeđe. Dakle, budući da se kronične ozljede po definiciji razvijaju kroz dugotrajni proces prenaprezanja, a ne zbog jednog iznenadnog događaja. Točan odgovor je B (Netočno).	TRUE	TRUE
UMS	Ozljede mišića u nogometu su najčešće posljedica djelovanja indirektne sile na mišić (prenaprezanja)	visestruki_izbor	Točno	Netočno					A	Izvori izričito potvrđuju ovu tvrdnju u poglavlju o ozljedama mišića: • Učestalost mehanizma: Izvor navodi da „ozljede mišića najčešće nastaju kao posljedica djelovanja indirektne sile na mišić“. • Vrste oštećenja: Takvo djelovanje sile uzrokuje promjene tipa istegnuća ili rupture mišića. • Usporedba s direktnom silom: Za razliku od indirektne sile, ozljede nastale djelovanjem direktne sile (poput nagnječenja ili rana uslijed udarca) događaju se u „rjeđim slučajevima“. • Povezanost s prenaprezanjem: Iako se u ovom kontekstu prvenstveno misli na akutna istegnuća, izvori šire objašnjavaju da kronične ozljede mišićno-tetivnog sustava nastaju kao sindromi prenaprezanja uslijed nakupljanja mikrotrauma. Ova informacija je u skladu i s našom prethodnom raspravom, gdje smo utvrdili da je tvrdnja o direktnoj sili kao najčešćem uzroku netočna, što potvrđuje da je indirektna sila primarni uzročnik mišićnih ozljeda u nogometu.	TRUE	TRUE
UMS	Kod liječenja krioterapijom (hlađenjem) preporuča se višekratna kratkotrajna primjena leda (do 20 minuta)	visestruki_izbor	Točno	Netočno					A	Izvori naglašavaju važnost krioterapije (hlađenja) u sklopu standardnog protokola prve pomoći: • Obveza liječenja: Za akutne ozljede mišića i gležnja, izvori navode da je neophodno pravilno i brzo započeti s liječenjem u vidu PRICE tretmana. • Svrha hlađenja: Primjena leda (dio PRICE principa) ključna je jer kod ozljeda dolazi do krvarenja, a veće krvarenje na mjestu ozljede dodatno otežava i usporava cijeljenje. • Vremenski okvir primjene: Ovaj se princip provodi u početnoj fazi, odnosno unutar 24 do 48 sati od nastanka ozljede. Iako izvori izričito ne spominju trajanje od "20 minuta" niti "višekratnu primjenu", ti su detalji sastavni dio standardnog PRICE protokola koji izvori navode kao obveznu metodu liječenja. Prema tome, tvrdnja je točna jer predstavlja pravilnu kliničku primjenu hlađenja koju priručnik nalaže radi kontrole krvarenja i bržeg oporavka.	TRUE	TRUE
UMS	Najčešće ozlijeđivani zglob u nogometu je koljeno	visestruki_izbor	Točno	Netočno					B	Izvori pružaju jasne podatke o učestalosti ozljeda zglobova u nogometu koji opovrgavaju tvrdnju da je koljeno na prvom mjestu: • Najčešća lokalizacija: Izričito se navodi da je gležanj (skočni zglob) najčešće ozljeđivani zglob u nogometu. Prema dostupnoj literaturi, na ozljede gležnja otpada do 35 % svih ozljeda. • Koljeno: U poglavlju o ozljedama koljena stoji da su one drugi zglob po učestalosti ozljeda u nogometu. • Ostali zglobovi: Radi usporedbe, ozljede ramena i gornjih ekstremiteta su rjeđe i čine tek 5 do 15 % svih ozljeda. Dakle, iako su ozljede koljena vrlo značajne i često teške, statistički je gležanj zglob koji nogometaši najčešće ozljeđuju.	TRUE	TRUE
UMS	U akutnoj fazi uganuće gležnja se liječi kompresijom i krioterapijom	visestruki_izbor	Točno	Netočno					A	Izvori izričito navode protokole za postupanje kod ozljeda ligamenata gležnja, što je stručni naziv za uganuće: • Akutna (početna) faza: Navodi se da se u početnoj fazi liječenja, unutar 24 do 48 sati od nastanka ozljede, obvezno provodi PRICE princip liječenja. • Komponente PRICE-a: Iako izvori ne raščlanjuju svako slovo akronima, u sportskoj medicini (kojom se bavi ovaj priručnik) PRICE označava zaštitu (Protection), odmor (Rest), led/krioterapiju (Ice), kompresiju (Compression) i podizanje (Elevation). • Svrha krioterapije i kompresije: Ovi postupci su ključni jer kod ozljeda dolazi do krvarenja i oticanja. Primjena hladnoće i pritiska smanjuje krvarenje, što je neophodno jer veće nakupljanje krvi na mjestu ozljede dodatno otežava i usporava cijeljenje,. • Daljnji tijek: Tek nakon ove početne faze u kojoj dominiraju krioterapija i kompresija, u post-akutnoj fazi prelazi se na vježbe propriocepcije i postepeno opterećenje. Dakle, primjena krioterapije i kompresije u akutnoj fazi uganuća gležnja izravno je u skladu s preporučenim PRICE protokolom iz izvora.	TRUE	TRUE
UMS	Kronične ozljede gležnja nastaju češće nakon nepravilno tretiranih ozljeda gležnja	visestruki_izbor	Točno	Netočno					A	Izvori izravno povezuju kvalitetu liječenja početnih ozljeda s razvojem kroničnih stanja: • Čimbenici rizika: U izvorima se navodi da su „neadekvatno liječenje i rehabilitacija“ ključni unutrašnji čimbenici rizika za nastanak ozljeda. • Sindromi prenaprezanja (kronične ozljede): Specifično za kronične ozljede, koje se često manifestiraju kao sindromi prenaprezanja, izvori ističu da su „neadekvatna rehabilitacija i liječenje prethodne ozljede“ među glavnim uzročnicima njihova nastanka. • Kronične promjene gležnja: Naglašava se da čak 40 % ozljeda gležnja rezultira kroničnim promjenama, a vjerojatnost ponovnog ozljeđivanja najveća je unutar 6 do 12 mjeseci od prve ozljede. • Začarani krug: Nepravilno tretirana ozljeda vodi do nakupljanja mikrotrauma koje, bez adekvatnog oporavka, uzrokuju „začarani krug“ i dovode do trajnih i nepovratnih oštećenja tkiva. Prema tome, pravilno i stručno liječenje akutne ozljede gležnja presudno je za sprječavanje prijelaza u kronično stanje boli i nestabilnosti zgloba.	TRUE	TRUE
UMS	Kod ozljeda koljena loš prognostički znak je osjećaj nestabilnosti koljena kod pregleda	visestruki_izbor	Točno	Netočno					A	Izvori pružaju jasne dokaze o tome da je stabilnost ključna za funkciju koljena, a njezin gubitak ukazuje na ozbiljne ozljede: • Znak teške ozljede: Izvori navode da se ozljeda prednje ukrižne sveze (ACL), koja je presudna za stabilnost koljena, manifestira upravo osjećajem nestabilnosti. • Posljedice za sportaša: Bilo kakva ozljeda anatomskih struktura koje osiguravaju stabilnost koljena dovodi do poremećaja koji za posljedicu ima izostanak s terena. • Dug oporavak: Za ozljede koje prati nestabilnost, poput rupture prednje ukrižne sveze, u većini je slučajeva potrebno operativno liječenje, a predviđeni povratak sportskim aktivnostima je tek unutar 6 mjeseci. • Dijagnostički značaj: Uz klinički pregled kojim se utvrđuje nestabilnost, kao najbolja metoda za potvrdu ovakvih unutrašnjih ozljeda koristi se magnetska rezonancija. S obzirom na to da osjećaj nestabilnosti izravno upućuje na oštećenje vitalnih struktura (poput ligamenata ili meniska) koje zahtijevaju dugotrajnu rehabilitaciju ili operaciju, on se u sportskoj medicini opravdano smatra lošim prognostičkim znakom za brz povratak igri.	TRUE	TRUE
UMS	Najbolja dijagnostička metoda za ligamentarne ozljede koljena je magnetska rezonanca koljena	visestruki_izbor	Točno	Netočno					A	Izvori izričito navode važnost ove dijagnostičke metode za ozljede koljena: • Identifikacija najbolje metode: U poglavlju o ozljedama koljena, izvor navodi da je kod sumnje na unutrašnju ozljedu koljena (što uključuje ligamentarne ozljede poput rupture prednje ukrižne sveze), najbolja dijagnostička metoda upravo magnetska rezonancija. • Klinički pregled: Iako se navodi da se ona koristi uz klinički pregled, magnetska rezonancija je istaknuta kao ključna metoda za potvrdu sumnje na teška oštećenja unutrašnjih struktura. • Dosljednost izvora: Magnetska rezonancija se u ovom priručniku dosljedno navodi kao najbolji izbor i za druge slične ozljede, poput ozljeda mišića ili kroničnih ozljeda gležnja. • Usporedba s drugim metodama: Za razliku od RTG-a (koji je primarno za kosti), magnetska rezonancija omogućuje precizan prikaz mekih tkiva (ligamenata i hrskavice), što je neophodno za ispravnu dijagnozu i planiranje daljnjeg liječenja. Dakle, tvrdnja da je magnetska rezonancija najbolja metoda za ligamentarne ozljede koljena izravno je podržana tekstom u izvorima.	TRUE	TRUE
UMS	Operativno liječenje rupture prednje ukrižne sveze koljena obuhvaća operativnu rekonstrukciju ligamenta i ranu fizikalnu terapiju	visestruki_izbor	Točno	Netočno					B	Izvori jasno razgraničavaju operativni zahvat od procesa rehabilitacije koji mu slijedi: 1. Terminološka razlika: Izvor navodi da se kod rupture prednje ukrižene sveze liječnici odlučuju za „operativno liječenje“, koje se sastoji od različitih tipova rekonstrukcije ligamenta. 2. Fizikalna terapija kao postoperativni proces: U izvorima se izričito navodi: „Poslije operacije obavezna je fizikalna terapija“. Upotreba riječi „poslije“ (nakon) jasno ukazuje na to da fizikalna terapija kronološki i stručno slijedi nakon završetka operativnog liječenja, a nije njegov sastavni dio. 3. Podjela nadležnosti: Operativno liječenje provode kirurzi, dok se fizikalna terapija provodi pod kontrolom „obučenog medicinskog osoblja“ (fizioterapeuta). 4. Usporedba s konzervativnim liječenjem: Za razliku od operativnog, izvor kod konzervativnog liječenja (npr. prepona) izričito kaže da ono „podrazumijeva... fizikalnu terapiju“. Takva formulacija („podrazumijeva“) ne koristi se za operativno liječenje u kontekstu fizikalne terapije. Dakle, iako je fizikalna terapija obavezan dio ukupnog puta oporavka sportaša, ona se prema tekstu izvora smatra procesom koji nastupa nakon operacije, a ne dijelom samog „operativnog liječenja“. Zbog te precizne podjele u tekstu, tvrdnja da operativno liječenje obuhvaća fizikalnu terapiju smatra se netočnom.	TRUE	TRUE